,Unnamed: 0,fname,xmin,ymin,w,h,name,id,height,width,iscrowd,area
118,118,ssd_20170105_12.png,1301,504,80,80,class1,18,1201,3600,0,6400
119,119,ssd_20170105_18.png,1288,505,80,80,class1,19,1201,3600,0,6400
120,120,ssd_20170105_12.png,1724,495,80,80,class0,18,1201,3600,0,6400
121,121,ssd_20170105_18.png,1696,511,80,80,class0,19,1201,3600,0,6400
122,122,ssd_20170106_00.png,975,681,80,80,class1,20,1201,3600,0,6400
123,123,ssd_20170106_06.png,973,685,80,80,class1,21,1201,3600,0,6400
124,124,ssd_20170106_00.png,1184,758,80,80,class1,20,1201,3600,0,6400
125,125,ssd_20170106_06.png,1184,767,80,80,class1,21,1201,3600,0,6400
126,126,ssd_20170106_00.png,1345,742,80,80,class1,20,1201,3600,0,6400
127,127,ssd_20170106_06.png,1351,739,80,80,class1,21,1201,3600,0,6400
128,128,ssd_20170106_00.png,914,497,80,80,class1,20,1201,3600,0,6400
129,129,ssd_20170106_06.png,923,494,80,80,class1,21,1201,3600,0,6400
130,130,ssd_20170106_00.png,462,670,80,80,class0,20,1201,3600,0,6400
131,131,ssd_20170106_06.png,450,661,80,80,class0,21,1201,3600,0,6400
132,132,ssd_20170106_00.png,914,497,80,80,class1,20,1201,3600,0,6400
133,133,ssd_20170106_06.png,923,494,80,80,class1,21,1201,3600,0,6400
134,134,ssd_20170106_12.png,969,684,80,80,class1,22,1201,3600,0,6400
135,135,ssd_20170106_18.png,958,684,80,80,class1,23,1201,3600,0,6400
136,136,ssd_20170106_12.png,1177,772,80,80,class1,22,1201,3600,0,6400
137,137,ssd_20170106_18.png,1177,775,80,80,class1,23,1201,3600,0,6400
138,138,ssd_20170106_12.png,930,491,80,80,class1,22,1201,3600,0,6400
139,139,ssd_20170106_18.png,934,488,80,80,class1,23,1201,3600,0,6400
140,140,ssd_20170106_12.png,443,656,80,80,class0,22,1201,3600,0,6400
141,141,ssd_20170106_18.png,440,653,80,80,class0,23,1201,3600,0,6400
142,142,ssd_20170106_12.png,930,491,80,80,class1,22,1201,3600,0,6400
143,143,ssd_20170106_18.png,934,488,80,80,class1,23,1201,3600,0,6400
144,144,ssd_20170106_12.png,1251,504,80,80,class1,22,1201,3600,0,6400
145,145,ssd_20170106_18.png,1259,508,80,80,class1,23,1201,3600,0,6400
146,146,ssd_20170106_12.png,1543,505,80,80,class1,22,1201,3600,0,6400
147,147,ssd_20170106_18.png,1533,527,80,80,class1,23,1201,3600,0,6400
148,148,ssd_20170107_00.png,954,682,80,80,class1,24,1201,3600,0,6400
149,149,ssd_20170107_06.png,958,677,80,80,class1,25,1201,3600,0,6400
150,150,ssd_20170107_00.png,1179,778,80,80,class1,24,1201,3600,0,6400
151,151,ssd_20170107_06.png,1183,775,80,80,class1,25,1201,3600,0,6400
152,152,ssd_20170107_00.png,442,639,80,80,class0,24,1201,3600,0,6400
153,153,ssd_20170107_06.png,440,640,80,80,class0,25,1201,3600,0,6400
154,154,ssd_20170107_00.png,1260,492,80,80,class1,24,1201,3600,0,6400
155,155,ssd_20170107_06.png,1249,487,80,80,class1,25,1201,3600,0,6400
156,156,ssd_20170107_00.png,1501,480,80,80,class0,24,1201,3600,0,6400
157,157,ssd_20170107_06.png,1509,467,80,80,class1,25,1201,3600,0,6400
158,158,ssd_20170107_00.png,1622,520,80,80,class1,24,1201,3600,0,6400
159,159,ssd_20170107_06.png,1582,506,80,80,class1,25,1201,3600,0,6400
160,160,ssd_20170107_12.png,954,674,80,80,class1,26,1201,3600,0,6400
161,161,ssd_20170107_18.png,959,670,80,80,class1,27,1201,3600,0,6400
162,162,ssd_20170107_12.png,1189,779,80,80,class1,26,1201,3600,0,6400
163,163,ssd_20170107_12.png,1321,747,80,80,class1,26,1201,3600,0,6400
164,164,ssd_20170107_18.png,1324,712,80,80,class1,27,1201,3600,0,6400
165,165,ssd_20170107_12.png,1452,751,80,80,class1,26,1201,3600,0,6400
166,166,ssd_20170107_18.png,1450,749,80,80,class1,27,1201,3600,0,6400
167,167,ssd_20170107_12.png,938,488,80,80,class1,26,1201,3600,0,6400
168,168,ssd_20170107_18.png,941,491,80,80,class1,27,1201,3600,0,6400
169,169,ssd_20170107_12.png,443,638,80,80,class1,26,1201,3600,0,6400
170,170,ssd_20170107_18.png,447,646,80,80,class0,27,1201,3600,0,6400
171,171,ssd_20170107_12.png,938,488,80,80,class1,26,1201,3600,0,6400
172,172,ssd_20170107_18.png,941,491,80,80,class1,27,1201,3600,0,6400
173,173,ssd_20170107_12.png,1241,482,80,80,class1,26,1201,3600,0,6400
174,174,ssd_20170107_18.png,1232,473,80,80,class1,27,1201,3600,0,6400
175,175,ssd_20170108_00.png,1187,784,80,80,class1,28,1201,3600,0,6400
176,176,ssd_20170108_06.png,1200,803,80,80,class1,29,1201,3600,0,6400
179,179,ssd_20170108_00.png,1345,706,80,80,class1,28,1201,3600,0,6400
180,180,ssd_20170108_00.png,948,491,80,80,class1,28,1201,3600,0,6400
181,181,ssd_20170108_06.png,955,485,80,80,class1,29,1201,3600,0,6400
182,182,ssd_20170108_00.png,615,621,80,80,class1,28,1201,3600,0,6400
183,183,ssd_20170108_06.png,618,623,80,80,class1,29,1201,3600,0,6400
184,184,ssd_20170108_00.png,948,491,80,80,class1,28,1201,3600,0,6400
185,185,ssd_20170108_06.png,955,485,80,80,class1,29,1201,3600,0,6400
186,186,ssd_20170108_00.png,1234,471,80,80,class1,28,1201,3600,0,6400
187,187,ssd_20170108_06.png,1228,464,80,80,class1,29,1201,3600,0,6400
188,188,ssd_20170108_12.png,975,663,80,80,class1,30,1201,3600,0,6400
189,189,ssd_20170108_18.png,982,659,80,80,class1,31,1201,3600,0,6400
190,190,ssd_20170108_12.png,1359,725,80,80,class1,30,1201,3600,0,6400
191,191,ssd_20170108_18.png,1366,726,80,80,class1,31,1201,3600,0,6400
192,192,ssd_20170108_12.png,1522,674,80,80,class0,30,1201,3600,0,6400
193,193,ssd_20170108_18.png,1522,681,80,80,class1,31,1201,3600,0,6400
194,194,ssd_20170108_12.png,954,480,80,80,class1,30,1201,3600,0,6400
195,195,ssd_20170108_18.png,957,467,80,80,class1,31,1201,3600,0,6400
196,196,ssd_20170108_12.png,629,623,80,80,class1,30,1201,3600,0,6400
197,197,ssd_20170108_18.png,635,628,80,80,class0,31,1201,3600,0,6400
198,198,ssd_20170108_12.png,954,480,80,80,class1,30,1201,3600,0,6400
199,199,ssd_20170108_18.png,957,467,80,80,class1,31,1201,3600,0,6400
200,200,ssd_20170108_12.png,1218,461,80,80,class1,30,1201,3600,0,6400
201,201,ssd_20170108_18.png,1212,457,80,80,class1,31,1201,3600,0,6400
204,204,ssd_20170109_00.png,1340,729,80,80,class1,32,1201,3600,0,6400
205,205,ssd_20170109_06.png,1331,722,80,80,class1,33,1201,3600,0,6400
208,208,ssd_20170109_00.png,947,456,80,80,class1,32,1201,3600,0,6400
209,209,ssd_20170109_06.png,938,449,80,80,class1,33,1201,3600,0,6400
210,210,ssd_20170109_00.png,947,456,80,80,class1,32,1201,3600,0,6400
211,211,ssd_20170109_06.png,938,449,80,80,class1,33,1201,3600,0,6400
212,212,ssd_20170109_00.png,1201,456,80,80,class1,32,1201,3600,0,6400
213,213,ssd_20170109_06.png,1194,457,80,80,class1,33,1201,3600,0,6400
215,215,ssd_20170109_12.png,1311,742,80,80,class1,34,1201,3600,0,6400
216,216,ssd_20170109_18.png,1294,757,80,80,class1,35,1201,3600,0,6400
217,217,ssd_20170109_12.png,935,454,80,80,class1,34,1201,3600,0,6400
218,218,ssd_20170109_18.png,928,449,80,80,class1,35,1201,3600,0,6400
219,219,ssd_20170109_12.png,935,454,80,80,class1,34,1201,3600,0,6400
220,220,ssd_20170109_18.png,928,449,80,80,class1,35,1201,3600,0,6400
221,221,ssd_20170109_12.png,1187,460,80,80,class1,34,1201,3600,0,6400
222,222,ssd_20170109_18.png,1180,468,80,80,class1,35,1201,3600,0,6400
225,225,ssd_20170110_00.png,1286,761,80,80,class1,36,1201,3600,0,6400
226,226,ssd_20170110_06.png,1279,765,80,80,class1,37,1201,3600,0,6400
227,227,ssd_20170110_00.png,921,446,80,80,class1,36,1201,3600,0,6400
228,228,ssd_20170110_06.png,926,442,80,80,class1,37,1201,3600,0,6400
229,229,ssd_20170110_00.png,921,446,80,80,class1,36,1201,3600,0,6400
230,230,ssd_20170110_06.png,926,442,80,80,class1,37,1201,3600,0,6400
231,231,ssd_20170110_00.png,1176,474,80,80,class0,36,1201,3600,0,6400
232,232,ssd_20170110_06.png,1160,478,80,80,class1,37,1201,3600,0,6400
233,233,ssd_20170110_12.png,1261,768,80,80,class1,38,1201,3600,0,6400
234,234,ssd_20170110_18.png,1248,768,80,80,class1,39,1201,3600,0,6400
235,235,ssd_20170110_12.png,1923,488,80,80,class0,38,1201,3600,0,6400
236,236,ssd_20170110_18.png,1896,471,80,80,class0,39,1201,3600,0,6400
237,237,ssd_20170110_12.png,879,494,80,80,class0,38,1201,3600,0,6400
238,238,ssd_20170110_18.png,882,497,80,80,class0,39,1201,3600,0,6400
239,239,ssd_20170110_12.png,928,439,80,80,class1,38,1201,3600,0,6400
240,240,ssd_20170110_18.png,928,435,80,80,class0,39,1201,3600,0,6400
241,241,ssd_20170110_12.png,879,494,80,80,class0,38,1201,3600,0,6400
242,242,ssd_20170110_18.png,882,497,80,80,class0,39,1201,3600,0,6400
243,243,ssd_20170110_12.png,928,439,80,80,class1,38,1201,3600,0,6400
244,244,ssd_20170110_18.png,928,435,80,80,class0,39,1201,3600,0,6400
245,245,ssd_20170110_12.png,1165,481,80,80,class1,38,1201,3600,0,6400
246,246,ssd_20170110_18.png,1153,475,80,80,class1,39,1201,3600,0,6400
247,247,ssd_20170111_00.png,931,428,80,80,class1,40,1201,3600,0,6400
248,248,ssd_20170111_06.png,933,418,80,80,class1,41,1201,3600,0,6400
249,249,ssd_20170111_00.png,931,428,80,80,class1,40,1201,3600,0,6400
250,250,ssd_20170111_06.png,933,418,80,80,class1,41,1201,3600,0,6400
251,251,ssd_20170111_00.png,1152,468,80,80,class0,40,1201,3600,0,6400
252,252,ssd_20170111_12.png,1210,798,80,80,class1,42,1201,3600,0,6400
253,253,ssd_20170111_18.png,1203,810,80,80,class1,43,1201,3600,0,6400
254,254,ssd_20170111_12.png,1425,721,80,80,class0,42,1201,3600,0,6400
255,255,ssd_20170111_18.png,1415,723,80,80,class1,43,1201,3600,0,6400
256,256,ssd_20170111_12.png,1120,453,80,80,class1,42,1201,3600,0,6400
257,257,ssd_20170111_18.png,1106,446,80,80,class1,43,1201,3600,0,6400
258,258,ssd_20170112_00.png,1198,820,80,80,class1,44,1201,3600,0,6400
259,259,ssd_20170112_06.png,1211,833,80,80,class1,45,1201,3600,0,6400
260,260,ssd_20170112_00.png,331,739,80,80,class0,44,1201,3600,0,6400
261,261,ssd_20170112_00.png,1089,446,80,80,class1,44,1201,3600,0,6400
262,262,ssd_20170112_06.png,1085,454,80,80,class1,45,1201,3600,0,6400
263,263,ssd_20170112_12.png,1231,840,80,80,class1,46,1201,3600,0,6400
264,264,ssd_20170112_18.png,1251,841,80,80,class1,47,1201,3600,0,6400
265,265,ssd_20170112_12.png,1799,823,80,80,class0,46,1201,3600,0,6400
266,266,ssd_20170112_18.png,1817,822,80,80,class1,47,1201,3600,0,6400
267,267,ssd_20170112_12.png,1090,459,80,80,class1,46,1201,3600,0,6400
268,268,ssd_20170112_18.png,1087,457,80,80,class1,47,1201,3600,0,6400
269,269,ssd_20170113_00.png,1189,781,80,80,class1,48,1201,3600,0,6400
270,270,ssd_20170113_06.png,1176,757,80,80,class1,49,1201,3600,0,6400
271,271,ssd_20170113_00.png,1085,456,80,80,class1,48,1201,3600,0,6400
272,272,ssd_20170113_06.png,1080,454,80,80,class1,49,1201,3600,0,6400
273,273,ssd_20170113_00.png,1229,463,80,80,class1,48,1201,3600,0,6400
276,276,ssd_20170113_12.png,302,753,80,80,class0,50,1201,3600,0,6400
277,277,ssd_20170113_18.png,297,770,80,80,class0,51,1201,3600,0,6400
278,278,ssd_20170113_12.png,1079,452,80,80,class1,50,1201,3600,0,6400
279,279,ssd_20170113_18.png,1074,454,80,80,class1,51,1201,3600,0,6400
280,280,ssd_20170113_12.png,1238,460,80,80,class1,50,1201,3600,0,6400
281,281,ssd_20170113_18.png,1241,452,80,80,class1,51,1201,3600,0,6400
282,282,ssd_20170114_00.png,297,767,80,80,class1,52,1201,3600,0,6400
283,283,ssd_20170114_06.png,297,770,80,80,class0,53,1201,3600,0,6400
284,284,ssd_20170114_00.png,557,615,80,80,class0,52,1201,3600,0,6400
285,285,ssd_20170114_06.png,570,626,80,80,class0,53,1201,3600,0,6400
286,286,ssd_20170114_00.png,1069,461,80,80,class1,52,1201,3600,0,6400
287,287,ssd_20170114_06.png,1069,464,80,80,class1,53,1201,3600,0,6400
288,288,ssd_20170114_00.png,1241,442,80,80,class0,52,1201,3600,0,6400
289,289,ssd_20170114_06.png,1221,435,80,80,class1,53,1201,3600,0,6400
290,290,ssd_20170114_12.png,1110,820,80,80,class1,54,1201,3600,0,6400
291,291,ssd_20170114_18.png,1100,795,80,80,class1,55,1201,3600,0,6400
292,292,ssd_20170114_12.png,1437,639,80,80,class0,54,1201,3600,0,6400
295,295,ssd_20170115_00.png,291,775,80,80,class1,56,1201,3600,0,6400
296,296,ssd_20170115_06.png,282,763,80,80,class0,57,1201,3600,0,6400
297,297,ssd_20170115_00.png,620,647,80,80,class0,56,1201,3600,0,6400
298,298,ssd_20170115_06.png,623,653,80,80,class0,57,1201,3600,0,6400
299,299,ssd_20170115_00.png,1835,705,80,80,class0,56,1201,3600,0,6400
300,300,ssd_20170115_00.png,1061,468,80,80,class0,56,1201,3600,0,6400
301,301,ssd_20170115_06.png,1054,461,80,80,class0,57,1201,3600,0,6400
302,302,ssd_20170115_12.png,277,770,80,80,class1,58,1201,3600,0,6400
303,303,ssd_20170115_18.png,284,772,80,80,class0,59,1201,3600,0,6400
304,304,ssd_20170115_12.png,584,652,80,80,class0,58,1201,3600,0,6400
305,305,ssd_20170115_18.png,563,653,80,80,class0,59,1201,3600,0,6400
306,306,ssd_20170115_12.png,1048,466,80,80,class0,58,1201,3600,0,6400
307,307,ssd_20170115_12.png,1251,432,80,80,class0,58,1201,3600,0,6400
308,308,ssd_20170115_18.png,1251,436,80,80,class0,59,1201,3600,0,6400
311,311,ssd_20170116_00.png,1326,750,80,80,class1,60,1201,3600,0,6400
312,312,ssd_20170116_06.png,1311,750,80,80,class1,61,1201,3600,0,6400
313,313,ssd_20170116_00.png,284,774,80,80,class1,60,1201,3600,0,6400
314,314,ssd_20170116_06.png,284,805,80,80,class0,61,1201,3600,0,6400
315,315,ssd_20170116_00.png,566,659,80,80,class0,60,1201,3600,0,6400
316,316,ssd_20170116_06.png,554,659,80,80,class0,61,1201,3600,0,6400
317,317,ssd_20170116_00.png,1885,726,80,80,class1,60,1201,3600,0,6400
318,318,ssd_20170116_00.png,1028,473,80,80,class0,60,1201,3600,0,6400
319,319,ssd_20170116_06.png,1011,471,80,80,class0,61,1201,3600,0,6400
320,320,ssd_20170116_00.png,1750,498,80,80,class0,60,1201,3600,0,6400
322,322,ssd_20170116_12.png,1295,746,80,80,class1,62,1201,3600,0,6400
323,323,ssd_20170116_18.png,1293,740,80,80,class1,63,1201,3600,0,6400
324,324,ssd_20170116_12.png,275,770,80,80,class1,62,1201,3600,0,6400
325,325,ssd_20170116_18.png,275,771,80,80,class1,63,1201,3600,0,6400
326,326,ssd_20170116_12.png,629,643,80,80,class0,62,1201,3600,0,6400
327,327,ssd_20170116_18.png,627,642,80,80,class0,63,1201,3600,0,6400
328,328,ssd_20170116_12.png,1861,706,80,80,class0,62,1201,3600,0,6400
329,329,ssd_20170116_18.png,1882,729,80,80,class0,63,1201,3600,0,6400
330,330,ssd_20170116_12.png,996,473,80,80,class0,62,1201,3600,0,6400
331,331,ssd_20170116_18.png,987,468,80,80,class0,63,1201,3600,0,6400
332,332,ssd_20170116_12.png,1716,499,80,80,class0,62,1201,3600,0,6400
335,335,ssd_20170117_00.png,1284,749,80,80,class1,64,1201,3600,0,6400
336,336,ssd_20170117_06.png,1290,760,80,80,class1,65,1201,3600,0,6400
337,337,ssd_20170117_00.png,1850,697,80,80,class1,64,1201,3600,0,6400
338,338,ssd_20170117_06.png,1855,698,80,80,class1,65,1201,3600,0,6400
339,339,ssd_20170117_00.png,1993,778,80,80,class1,64,1201,3600,0,6400
340,340,ssd_20170117_06.png,2001,764,80,80,class1,65,1201,3600,0,6400
343,343,ssd_20170117_12.png,310,756,80,80,class1,66,1201,3600,0,6400
344,344,ssd_20170117_18.png,297,774,80,80,class0,67,1201,3600,0,6400
345,345,ssd_20170117_12.png,680,660,80,80,class0,66,1201,3600,0,6400
346,346,ssd_20170117_18.png,677,657,80,80,class0,67,1201,3600,0,6400
347,347,ssd_20170117_12.png,1924,712,80,80,class1,66,1201,3600,0,6400
348,348,ssd_20170117_18.png,1947,711,80,80,class1,67,1201,3600,0,6400
351,351,ssd_20170118_00.png,903,466,80,80,class0,68,1201,3600,0,6400
352,352,ssd_20170118_06.png,890,468,80,80,class0,69,1201,3600,0,6400
353,353,ssd_20170118_00.png,312,778,80,80,class0,68,1201,3600,0,6400
354,354,ssd_20170118_06.png,310,781,80,80,class0,69,1201,3600,0,6400
355,355,ssd_20170118_00.png,557,659,80,80,class0,68,1201,3600,0,6400
356,356,ssd_20170118_06.png,573,670,80,80,class0,69,1201,3600,0,6400
357,357,ssd_20170118_00.png,645,642,80,80,class0,68,1201,3600,0,6400
358,358,ssd_20170118_06.png,649,643,80,80,class0,69,1201,3600,0,6400
359,359,ssd_20170118_00.png,1994,763,80,80,class1,68,1201,3600,0,6400
360,360,ssd_20170118_06.png,1999,763,80,80,class1,69,1201,3600,0,6400
363,363,ssd_20170118_12.png,1236,827,80,80,class1,70,1201,3600,0,6400
364,364,ssd_20170118_12.png,2374,478,80,80,class0,70,1201,3600,0,6400
365,365,ssd_20170118_18.png,2367,474,80,80,class0,71,1201,3600,0,6400
366,366,ssd_20170118_12.png,300,774,80,80,class0,70,1201,3600,0,6400
367,367,ssd_20170118_18.png,302,775,80,80,class0,71,1201,3600,0,6400
368,368,ssd_20170118_12.png,567,650,80,80,class0,70,1201,3600,0,6400
369,369,ssd_20170118_18.png,570,652,80,80,class0,71,1201,3600,0,6400
370,370,ssd_20170118_12.png,1973,701,80,80,class1,70,1201,3600,0,6400
371,371,ssd_20170118_18.png,1990,704,80,80,class1,71,1201,3600,0,6400
374,374,ssd_20170119_00.png,1205,803,80,80,class1,72,1201,3600,0,6400
375,375,ssd_20170119_06.png,1208,808,80,80,class1,73,1201,3600,0,6400
376,376,ssd_20170119_00.png,852,474,80,80,class0,72,1201,3600,0,6400
377,377,ssd_20170119_00.png,301,780,80,80,class0,72,1201,3600,0,6400
378,378,ssd_20170119_06.png,315,792,80,80,class0,73,1201,3600,0,6400
379,379,ssd_20170119_00.png,497,630,80,80,class0,72,1201,3600,0,6400
380,380,ssd_20170119_06.png,502,639,80,80,class0,73,1201,3600,0,6400
381,381,ssd_20170119_00.png,1203,474,80,80,class0,72,1201,3600,0,6400
382,382,ssd_20170119_06.png,1203,488,80,80,class0,73,1201,3600,0,6400
385,385,ssd_20170119_12.png,954,516,80,80,class0,74,1201,3600,0,6400
386,386,ssd_20170119_18.png,968,525,80,80,class0,75,1201,3600,0,6400
387,387,ssd_20170119_12.png,317,812,80,80,class0,74,1201,3600,0,6400
388,388,ssd_20170119_18.png,314,816,80,80,class0,75,1201,3600,0,6400
389,389,ssd_20170119_12.png,737,653,80,80,class0,74,1201,3600,0,6400
390,390,ssd_20170119_18.png,710,652,80,80,class0,75,1201,3600,0,6400
391,391,ssd_20170119_12.png,778,652,80,80,class0,74,1201,3600,0,6400
392,392,ssd_20170119_18.png,778,646,80,80,class0,75,1201,3600,0,6400
393,393,ssd_20170119_12.png,959,520,80,80,class0,74,1201,3600,0,6400
394,394,ssd_20170119_18.png,968,525,80,80,class0,75,1201,3600,0,6400
396,396,ssd_20170120_00.png,1201,785,80,80,class1,76,1201,3600,0,6400
